排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
65,光荣之路,Stanley Kubrick,Kirk Douglas / Ralph Meeker / Adolphe Menjou,剧情/战争,美国,1957,1小时 28分钟,8.4,228000 ,"$8,290 "
66,闪灵,Stanley Kubrick,Jack Nicholson / Shelley Duvall / Danny Lloyd,剧情/恐怖,英国/美国,1980,2小时 26分钟,8.4,1200000 ,"$47,969,816 "
67,大独裁者,Charles Chaplin,Charles Chaplin / Paulette Goddard / Jack Oakie,喜剧/剧情/战争,美国,1940,2小时 5分钟,8.4,250000 ,"$972,212 "
68,12年级的失败,Vidhu Vinod Chopra,Vikrant Massey / Medha Shankr / Anant Joshi,传记/剧情,印度,2023,N/A,8.7,152000 ,"$138,288 "
69,无耻混蛋,Quentin Tarantino,Brad Pitt / Diane Kruger / Eli Roth,冒险/剧情/战争,美国/德国,2009,2小时 33分钟,8.4,1700000 ,"$321,460,744 "
70,异形2,James Cameron,Sigourney Weaver / Michael Biehn / Carrie Henn,动作/冒险/恐怖,英国/美国,1986,2小时 17分钟,8.4,813000 ,"$131,060,248 "
71,蝙蝠侠：黑暗骑士崛起,Christopher Nolan,Christian Bale / Tom Hardy / Anne Hathaway,动作/犯罪/剧情,美国/英国,2012,2小时 44分钟,8.4,1900000 ,"$1,114,976,407 "
72,寻梦环游记,Lee Unkrich,Anthony Gonzalez / Gael García Bernal / Benjamin Bratt,动画/冒险/剧情,美国/墨西哥,2017,1小时 45分钟,8.4,658000 ,"$814,641,172 "
73,莫扎特传,Milos Forman,F. Murray Abraham / Tom Hulce / Elizabeth Berridge,传记/剧情/音乐,美国/法国,1984,2小时 40分钟,8.4,451000 ,"$52,205,710 "
74,玩具总动员,John Lasseter,Tom Hanks / Tim Allen / Don Rickles,动画/冒险/喜剧,美国,1995,1小时 21分钟,8.3,1100000 ,"$394,436,586 "
75,复仇者联盟4：终局之战,Anthony Russo,Robert Downey Jr. / Chris Evans / Mark Ruffalo,动作/冒险/科幻,美国,2019,3小时 1分钟,8.4,1400000 ,"$2,799,439,100.00 "
76,心灵捕手,Gus Van Sant,Robin Williams / Matt Damon / Ben Affleck,剧情/爱情,美国,1997,2小时 6分钟,8.3,1100000 ,"$225,933,435 "
77,奇爱博士,Stanley Kubrick,Peter Sellers / George C. Scott / Sterling Hayden,喜剧/战争,英国/美国,1964,1小时 35分钟,8.3,540000 ,"$9,631,984 "
78,老男孩,Park Chan-wook,Choi Min-sik / Yoo Ji-tae / Kang Hye-jeong,动作/剧情/悬疑,韩国,2003,2小时,8.3,685000 ,"$17,617,021 "
79,从海底出击,Wolfgang Petersen,Jürgen Prochnow / Herbert Gr?nemeyer / Klaus Wennemann,剧情/战争,西德,1981,N/A,8.4,281000 ,"$11,489,051 "
80,勇敢的心,Mel Gibson,Mel Gibson / Sophie Marceau / Patrick McGoohan,传记/剧情/战争,美国,1995,2小时 58分钟,8.3,1100000 ,"$213,216,216 "
81,天国与地狱,Akira Kurosawa,Toshir? Mifune / Yutaka Sada / Tatsuya Nakadai,犯罪/剧情/悬疑,日本,1963,2小时 23分钟,8.4,62000 ,"$64,503 "
82,美国丽人,Sam Mendes,Kevin Spacey / Annette Bening / Thora Birch,剧情,美国,1999,2小时 2分钟,8.3,1300000 ,"$356,296,601 "
83,幽灵公主,Hayao Miyazaki,Y?ji Matsuda / Yuriko Ishida / Y?ko Tanaka,动画/冒险/奇幻,日本,1997,2小时 13分钟,8.3,464000 ,"$177,642,980 "
84,你的名字。,Makoto Shinkai,Ry?nosuke Kamiki / Mone Kamishiraishi / Ryo Narita,动画/剧情/奇幻,日本,2016,N/A,8.4,363000 ,"$405,340,703 "
85,三傻大闹宝莱坞,Rajkumar H伊朗i,Aamir Khan / Madhavan / Mona Singh,喜剧/剧情,印度,2009,2小时 50分钟,8.4,463000 ,"$60,262,836 "
86,小丑,Todd Phillips,Joaquin Phoenix / Robert De Niro / Zazie Beetz,犯罪/剧情/惊悚,美国/加拿大/澳大利亚,2019,2小时 2分钟,8.3,1600000 ,"$1,078,958,629 "
87,何以为家,Nadine Labaki,Zain Al Rafeea / Yordanos Shiferaw / Boluwatife Treasure Bankole,剧情,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,2018,2小时 6分钟,8.4,118000 ,"$64,417,003 "
88,美国往事,Sergio Leone,Robert De Niro / James Woods / Elizabeth McGovern,犯罪/剧情,意大利/美国,1984,3小时 49分钟,8.3,398000 ,"$5,476,126 "
89,雨中曲,Stanley Donen,Gene Kelly / Donald O'Connor / Debbie Reynolds,喜剧/音乐/爱情,美国,1952,1小时 43分钟,8.3,274000 ,"$2,096,442 "
90,自己去看,Elem Klimov,Aleksey Kravchenko / Olga Mironova / Liubomiras Laucevicius,剧情/惊悚/战争,苏联,1985,2小时 22分钟,8.3,114000 ,"$20,929,648 "
